year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_range,salary_skew,employment_quality_ratio
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Engineering Science) ^,89.5,68.4,4189.0,4500.0,4399.0,4500.0,4000.0,4900.0,900.0,-101.0,0.764245810055866
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Environmental Engineering),97.1,88.6,3572.0,3500.0,3607.0,3500.0,3300.0,3900.0,600.0,107.0,0.9124613800205973
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Industrial And Systems Engineering),96.7,91.8,4237.0,4150.0,4417.0,4500.0,4000.0,4900.0,900.0,-83.0,0.9493278179937952
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Materials Science And Engineering),91.7,87.5,3899.0,3775.0,4020.0,3896.0,3600.0,4200.0,600.0,124.0,0.9541984732824427
2021,National University Of Singapore,Faculty Of Engineering,Bachelor Of Engineering (Mechanical Engineering),94.5,89.5,3965.0,3800.0,4115.0,3875.0,3500.0,4550.0,1050.0,240.0,0.9470899470899471
2021,National University Of Singapore,Faculty Of Law,Bachelor Of Laws #,96.5,93.5,5398.0,5150.0,5627.0,5600.0,4500.0,6000.0,1500.0,27.0,0.9689119170984456
2021,National University Of Singapore,Faculty Of Science,Bachelor Of Science,82.4,56.9,3446.0,3300.0,3627.0,3527.0,3100.0,4000.0,900.0,100.0,0.6905339805825242
2021,National University Of Singapore,Faculty Of Science,Bachelor Of Science (Hons),92.2,76.5,3665.0,3500.0,3767.0,3600.0,3400.0,4000.0,600.0,167.0,0.8297180043383948
2021,National University Of Singapore,Faculty Of Science,Bachelor Of Science (Computational Biology) ^,100.0,100.0,4655.0,4500.0,4677.0,4500.0,4000.0,5000.0,1000.0,177.0,1.0
2021,National University Of Singapore,Faculty Of Science,Bachelor Of Science (Pharmacy) #,95.9,91.9,3773.0,3760.0,3923.0,3915.0,3636.0,4200.0,564.0,8.0,0.9582898852971846
2021,National University Of Singapore,Faculty Of Science,Bachelor Of Science (Data Science And Analytics),97.7,95.3,4819.0,4500.0,4981.0,4800.0,4200.0,5400.0,1200.0,181.0,0.9754350051177072
2021,National University Of Singapore,Nus Business School,Bachelor Of Business Administration,94.7,81.6,5199.0,3550.0,5567.0,3700.0,3125.0,7625.0,4500.0,1867.0,0.8616684266103484
2021,National University Of Singapore,Nus Business School,Bachelor Of Business Administration (Hons),98.1,93.5,4828.0,4200.0,4950.0,4347.0,3700.0,5200.0,1500.0,603.0,0.9531090723751274
2021,National University Of Singapore,Nus Business School,Bachelor Of Business Administration (Accountancy) ^,100.0,100.0,3380.0,3300.0,3515.0,3400.0,3013.0,3750.0,737.0,115.0,1.0
2021,National University Of Singapore,Nus Business School,Bachelor Of Business Administration (Accountancy) (Hons),97.0,96.3,4124.0,3430.0,4194.0,3500.0,3200.0,4600.0,1400.0,694.0,0.9927835051546392
2021,National University Of Singapore,School Of Computing,Bachelor Of Computing (Computer Science),99.1,96.4,5898.0,5800.0,6002.0,6000.0,5000.0,6900.0,1900.0,2.0,0.9727547931382443
2021,National University Of Singapore,School Of Computing,Bachelor Of Computing (Information Security) ^,100.0,100.0,4992.0,5000.0,5095.0,5400.0,4305.0,5500.0,1195.0,-305.0,1.0
2021,National University Of Singapore,School Of Computing,Bachelor Of Computing (Information Systems),97.5,96.2,5087.0,5000.0,5217.0,5000.0,4500.0,5400.0,900.0,217.0,0.9866666666666667
2021,National University Of Singapore,School Of Computing,Bachelor Of Science (Business Analytics),100.0,100.0,5437.0,5050.0,5603.0,5400.0,4800.0,6125.0,1325.0,203.0,1.0
2021,National University Of Singapore,School Of Design & Environment,Bachelor Of Arts (Architecture),97.7,96.6,4090.0,4000.0,4139.0,4000.0,3600.0,4440.0,840.0,139.0,0.9887410440122824
2021,National University Of Singapore,School Of Design & Environment,Bachelor Of Arts (Industrial Design),87.5,75.0,4146.0,3825.0,4178.0,3825.0,3200.0,4250.0,1050.0,353.0,0.8571428571428571
2021,National University Of Singapore,School Of Design & Environment,Bachelor Of Science (Project And Facilities Management),93.1,92.1,3424.0,3450.0,3560.0,3500.0,3200.0,3700.0,500.0,60.0,0.9892588614393125
2021,National University Of Singapore,School Of Design & Environment,Bachelor Of Science (Real Estate),94.5,82.4,3692.0,3575.0,3863.0,3700.0,3400.0,4000.0,600.0,163.0,0.871957671957672
2021,National University Of Singapore,Yong Loo Lin School (Medicine),Bachelor Of Medicine And Bachelor Of Surgery # **,,,,,,,,,,,
